  Time,User+nice,System,Idle
  1,23.33,12.05,64.62
  2,19.11,14.66,66.23
  3,20.57,13.11,66.32
  4,20.26,13.25,66.49
  5,19.59,13.99,66.16
  6,18.11,13.65,68.24
  7,19.47,14.21,66.32
  8,21.82,13.25,64.94
  9,18.32,13.09,68.59
  10,18.95,13.16,67.89
  11,21.79,13.33,64.87
  12,18.85,13.35,67.54
  13,20,16.5,63.5
  14,24.07,14.39,61.54
  15,21.67,12.01,66.32
  16,20.77,13.85,65.38
  17,21.35,13.8,64.84
  18,19.27,13.54,67.19
  19,20.46,16.11,63.17
  20,19.37,15.18,65.45
  21,19.42,12.34,68.24
  22,19.06,13.05,67.89
  23,21.2,11.52,67.28
  24,20.98,11.4,67.62
  25,20.05,13.54,66.41
  26,21.3,12.99,65.71
  27,22.42,13.14,64.43
  28,25.13,10.62,64.25
  29,22.11,12.08,65.81
  30,21.09,12.76,66.15
  31,25.71,12.21,62.08
  32,22,13,64.75
  33,19.68,11.97,68.35
  34,21.9,12.14,65.96
  35,20.88,14.69,64.43
  36,22.25,15.75,62
  37,15.75,14.44,69.82
  38,21.61,14.58,63.8
  39,22.45,15.56,61.99
  40,19.64,15.76,64.6
  41,17.85,17.59,64.57
  42,19.47,16.58,63.95
  43,18.83,13.53,67.64
  44,24.22,11.46,64.32
  45,21.37,14.25,64.38
  46,20.2,14.32,65.47
  47,19.31,11.9,68.52
  48,22.86,14.07,63.07
  49,19.6,13.07,67.34
  50,19.47,15.79,64.74
  51,19.79,13.62,66.58
  52,20.15,15.17,64.43
  53,17.46,13.76,68.78
  54,21.48,12.28,65.98
  55,18.28,12.27,69.45
  56,17.41,15.04,67.55
  57,23,12.14,64.08
  58,21.3,14.03,64.68
  59,19,15.83,65.17
  60,21.08,15.17,63.75
  61,21.43,16.33,62.24
  62,19.34,15.27,65.39
  63,21.07,16.75,62.18
  64,20.05,16.36,63.59
  65,19.95,15.86,64.19
  66,20,13.16,66.84
  67,20.26,12.37,67.37
  68,22.05,13.08,64.87
  69,17.72,12.43,69.84
  70,22.72,12.53,64.75
  71,21.32,12.89,65.79
  72,20.36,13.92,65.72
  73,17.51,11.41,71.09
  74,19.9,13.7,66.41
  75,20.67,13.44,65.89
  76,20.77,13.08,66.15
  77,20.68,14.4,64.66
  78,20.21,13.91,65.88
  79,17.69,13.33,68.97
  80,21.73,14.66,63.61
  81,21.91,14.61,63.48
  82,20.71,12.88,66.41
  83,21.75,10.88,67.37
  84,19.24,14.18,66.58
  85,19.15,13.83,67.02
  86,22.7,14.03,63.27
  87,21.37,15.01,63.61
  88,21.67,13.58,64.75
  89,18.95,13.95,67.11
  90,20.48,13.03,66.49
  91,18.72,16.67,64.36
  92,21.15,13.32,65.54
  93,19.84,13.49,66.67
  94,21.13,12.37,66.49
  95,21.13,13.14,65.72
  96,22.08,14.03,63.9
  97,20.89,15.4,63.45
  98,16.71,12.47,70.82
  99,20.81,13.45,65.74
  100,19.58,13.49,66.93
  101,19.16,13.65,67.19
  102,21.24,12.44,66.06
  103,24.23,10.2,65.56
  104,20.37,13.58,66.06
  105,20.16,11.94,67.9
  106,20.91,14.11,64.99
  107,16.83,14.57,68.59
  108,21.76,12.69,65.54
  109,21.28,13.08,65.64
  110,18.59,13.35,68.06
  111,20.48,11.44,68.09
  112,19.41,12.77,67.55
  113,20.1,13.66,66.24
  114,20.21,12.18,67.62
  115,20.57,12.6,66.84
  116,24,13,63
  117,21.11,15.08,63.82
  118,23.08,12.56,64.36
  119,23.59,12.31,64.1
  120,20.57,11.83,67.61
