  Time,User+nice,System,Idle
  1,23.74,14.9,61.36
  2,24.23,13.14,62.63
  3,25.64,12.69,61.68
  4,25.77,13.01,61.22
  5,25.07,13.16,61.77
  6,24.04,15.6,60.36
  7,27.7,12.56,59.49
  8,24.8,13.81,61.38
  9,23.65,12.34,64.01
  10,24.23,14.69,61.08
  11,26.29,12.63,61.08
  12,24.87,12.05,63.08
  13,24.81,13.67,61.52
  14,25.07,12.53,62.4
  15,25.77,15.98,58.25
  16,25.45,12.72,61.83
  17,23.5,14.62,61.88
  18,25.64,13.71,60.66
  19,27.11,14.83,58.06
  20,27.23,11.52,61.26
  21,25.66,12.04,62.3
  22,27.1,12.53,60.36
  23,25,13.78,61.22
  24,28.06,12.24,59.69
  25,24.62,14.21,61.17
  26,25.71,12.85,61.44
  27,26.08,13.04,60.87
  28,25.32,12.53,62.14
  29,26.09,13.04,60.87
  30,24.23,12.89,62.89
  31,26.1,12.92,60.98
  32,24.35,13.99,61.66
  33,25.76,15.15,59.09
  34,24.68,14.14,61.18
  35,23.74,14.9,61.36
  36,24.29,12.4,63.31
  37,24.18,15.37,60.45
  38,24.69,13.47,61.85
  39,24.81,11.9,63.29
  40,23.1,14.47,62.44
  41,26.58,14.68,58.73
  42,27.99,11.96,60.05
  43,25.64,12.82,61.54
  44,25.96,13.88,60.15
  45,24.68,13.37,61.95
  46,26.51,13.64,59.85
  47,24.29,14.32,61.38
  48,26.02,13.27,60.71
  49,25.57,13.67,60.76
  50,25.78,14.43,59.79
  51,24.93,15.27,59.8
  52,25.25,13.52,61.22
  53,25.76,13.64,60.61
  54,24.03,13.44,62.53
  55,24.48,13.78,61.73
  56,25.44,13.49,61.07
  57,27.56,12.76,59.69
  58,25.64,14.72,59.64
  59,26.39,15.33,58.29
  60,28.17,13.44,58.4
  61,24.8,12.79,62.4
  62,23.71,12.63,63.66
  63,24.69,13.35,61.96
  64,25.38,11.79,62.82
  65,23.72,13.52,62.76
  66,24.68,12.6,62.72
  67,26.6,14.58,58.82
  68,27.5,14.91,57.58
  69,24.87,13.82,61.31
  70,24.94,14.4,60.67
  71,27.25,12.85,59.9
  72,24.17,14.91,60.93
  73,24.36,15.13,60.51
  74,26.19,15.37,58.44
  75,24.29,13.95,61.76
  76,26.16,13.59,60.26
  77,24.62,15.48,59.64
  78,25.32,13.44,61.24
  79,24.68,12.6,62.72
  80,24.42,13.23,62.34
  81,26.37,12.01,61.62
  82,26.67,14.1,59.23
  83,26.53,12.5,60.97
  84,22.02,11.92,66.06
  85,24.43,14.25,61.32
  86,26.99,14.14,58.87
  87,23.2,15.46,61.34
  88,26.65,13.96,59.39
  89,25.19,14.5,60.31
  90,24.49,13.52,61.99
  91,24.42,12.6,62.98
  92,24.75,13.52,61.48
  93,24.87,12.3,62.83
  94,25.44,14.5,60.05
  95,24.74,11.72,63.54
  96,24.56,14.07,61.38
  97,25.13,13.82,61.06
  98,25.39,13.85,60.77
  99,22.34,11.69,65.97
  100,25.64,12.69,61.66
  101,25.2,12.47,62.34
  102,26.97,12.21,60.81
  103,24.03,12.92,63.05
  104,25.2,12.85,61.95
  105,24.42,12.6,62.98
  106,25.07,13.7,61.24
  107,24.88,14.25,60.88
  108,24.48,12.5,63.02
  109,24.81,13.04,62.15
  110,25.7,12.6,61.7
  111,26.03,13.78,60.2
  112,25.13,12.69,62.18
  113,23.91,12.85,63.24
  114,25.85,10.44,63.71
  115,26.33,13.92,59.75
  116,24.48,14.69,60.82
  117,24.36,14.72,60.91
  118,23.61,16.5,59.9
  119,25.52,15.21,59.28
  120,25.25,13.14,61.6
